MSucesivas	Recursiva	RecursivaPar	PrograDinamica	Mejorada	Pow	Horner
11472	3859745	13886	6943	6943	63997	224594	
16603	30791	17207	12377	9660	28376	6641	
17811	62789	54035	13282	11773	41659	14489	
31999	65808	71242	21433	15094	58261	13886	
43470	61582	98712	25357	28074	69431	29282	
12980	50715	115014	22942	18414	79996	19924	
19320	31998	125881	24754	7849	86939	21735	
23848	29886	157276	9056	8452	76978	23245	
27772	53733	136749	6641	6340	80298	7244	
23244	45885	58563	7245	6641	85430	6943	
58564	49809	57054	9358	9358	94486	8150	
40149	50111	59167	9358	13283	103844	8452	
47394	54035	45280	10566	9660	113202	9660	
35923	45281	26866	9962	10565	120146	9660	
13282	51620	30187	10868	13282	129503	12075	
12075	52828	33206	11169	9660	138861	11773	
18112	58563	35319	10868	10263	149427	11471	
14791	90260	49809	21735	17810	163313	14490	
15697	70638	39848	12074	11773	161502	11471	
21433	72148	41658	11773	11773	169955	12377	
16905	80298	45583	17810	13585	177501	12377	
20527	90864	51922	5433	16603	193199	29281	
22640	92373	45281	5132	11773	207689	15094	
18112	79695	51319	5434	11471	200142	11773	
13886	76676	61280	5434	13886	208896	19018	
25961	86638	44375	5433	9359	209197	9358	
16603	60677	50111	4226	6943	230933	10565	
19320	67921	30489	4528	6641	221877	9660	
18415	71242	30187	4226	7245	227310	9962	
19622	77883	31696	4528	7245	237574	10264	
21131	83317	33206	4528	7547	246932	7546	
22339	101127	34413	4830	7849	375228	8754	
26866	107467	36225	4830	7849	344437	8150	
26263	101731	37131	5131	11170	312438	7849	
27773	121352	41357	6641	9660	332060	8452	
41961	123466	56148	6641	10264	379152	10566	
31394	126485	45281	8151	9056	346550	8754	
36828	130107	42262	5434	8754	390020	9056	
36527	137956	44375	6037	9359	366775	10867	
50412	146409	45884	8453	9358	321192	9358	
